2013-10-08 14:37:18 Warning: Warning (2): mysql_connect() [http://php.net/function.mysql-connect]: Access denied for user 'user'@'localhost' (using password: YES) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/model/datasources/dbo/dbo_mysql.php, line 561]
2013-11-25 03:11:10 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 957]
2013-11-25 03:12:24 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 953]
2013-11-25 03:12:24 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 954]
2013-11-25 03:12:24 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 955]
2013-11-25 03:12:24 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 956]
2013-11-25 03:12:24 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 957]
2013-11-25 03:12:24 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 742]
2013-11-25 03:12:28 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 953]
2013-11-25 03:12:28 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 954]
2013-11-25 03:12:28 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 955]
2013-11-25 03:12:28 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 956]
2013-11-25 03:12:28 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 957]
2013-11-25 03:12:28 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 742]
2013-11-25 03:14:43 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 953]
2013-11-25 03:14:43 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 954]
2013-11-25 03:14:43 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 955]
2013-11-25 03:14:43 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 956]
2013-11-25 03:14:43 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 957]
2013-11-25 03:45:07 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'findAll' at line 1</span> in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/model/datasources/dbo_source.php, line 684]
2013-11-25 04:26:37 Warning: Warning (2): Invalid argument supplied for foreach() in [/Users/sandeepankundu/Sites/cakephp13/myapp/views/posts/json/index.ctp, line 2]
2013-11-25 04:26:37 Warning: Warning (2): Header may not contain more than a single header, new line detected in [/Users/sandeepankundu/Sites/cakephp13/myapp/views/layouts/json/default.ctp, line 6]
2013-11-25 05:31:05 Warning: Warning (2): Missing argument 1 for PostsController::view() in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php, line 65]
2013-11-25 05:39:13 Warning: Warning (2): Missing argument 1 for PostsController::view() in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php, line 65]
2013-11-25 07:59:17 Warning: Warning (2): Missing argument 1 for PostsController::view() in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php, line 91]
2013-11-25 07:59:17 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/cake/libs/debugger.php:686) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 742]
2013-11-25 07:59:17 Warning: Warning (2): Missing argument 1 for PostsController::delete() in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php, line 148]
2013-11-25 07:59:17 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/cake/libs/debugger.php:686) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 742]
2013-11-25 07:59:35 Warning: Warning (2): Missing argument 1 for PostsController::view() in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php, line 91]
2013-11-25 07:59:35 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/cake/libs/debugger.php:686) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 742]
2013-11-25 07:59:35 Warning: Warning (2): Missing argument 1 for PostsController::delete() in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php, line 148]
2013-11-25 07:59:35 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/cake/libs/debugger.php:686) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 742]
2013-11-25 08:00:43 Warning: Warning (2): Missing argument 1 for PostsController::view() in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php, line 91]
2013-11-25 08:00:43 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/cake/libs/debugger.php:686) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 742]
2013-11-25 08:00:43 Warning: Warning (2): Missing argument 1 for PostsController::delete() in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php, line 148]
2013-11-25 08:00:43 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/cake/libs/debugger.php:686) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 742]
2013-11-25 08:01:01 Warning: Warning (2): Missing argument 1 for PostsController::view() in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php, line 91]
2013-11-25 08:01:01 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/cake/libs/debugger.php:686) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 742]
2013-11-25 08:01:01 Warning: Warning (2): Missing argument 1 for PostsController::delete() in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php, line 148]
2013-11-25 08:01:01 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/cake/libs/debugger.php:686) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 742]
2013-11-25 08:02:53 Warning: Warning (2): Missing argument 1 for PostsController::view() in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php, line 91]
2013-11-25 08:02:53 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/cake/libs/debugger.php:686) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 742]
2013-11-25 08:02:53 Warning: Warning (2): Missing argument 1 for PostsController::delete() in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php, line 148]
2013-11-25 08:02:53 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/cake/libs/debugger.php:686) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 742]
2013-11-25 08:06:48 Warning: Warning (2): Missing argument 1 for PostsController::view() in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php, line 91]
2013-11-25 08:06:48 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/cake/libs/debugger.php:686) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 742]
2013-11-25 08:06:48 Warning: Warning (2): Missing argument 1 for PostsController::delete() in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php, line 148]
2013-11-25 08:06:48 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/cake/libs/debugger.php:686) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 742]
2013-11-25 08:07:15 Warning: Warning (2): Missing argument 1 for PostsController::view() in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php, line 91]
2013-11-25 08:07:15 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/cake/libs/debugger.php:686) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 742]
2013-11-25 08:07:15 Warning: Warning (2): Missing argument 1 for PostsController::delete() in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php, line 148]
2013-11-25 08:07:15 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/cake/libs/debugger.php:686) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 742]
2013-11-25 08:07:36 Warning: Warning (2): Missing argument 1 for PostsController::view() in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php, line 91]
2013-11-25 08:07:36 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/cake/libs/debugger.php:686) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 742]
2013-11-25 08:07:36 Warning: Warning (2): Missing argument 1 for PostsController::delete() in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php, line 148]
2013-11-25 08:07:36 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/cake/libs/debugger.php:686) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 742]
2013-11-25 08:10:06 Warning: Warning (2): Missing argument 1 for PostsController::view() in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php, line 91]
2013-11-25 08:10:06 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/cake/libs/debugger.php:686) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 742]
2013-11-25 08:10:06 Warning: Warning (2): Missing argument 1 for PostsController::delete() in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php, line 148]
2013-11-25 08:10:06 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/cake/libs/debugger.php:686) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 742]
2013-11-25 08:11:40 Warning: Warning (2): Missing argument 1 for PostsController::view() in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php, line 91]
2013-11-25 08:11:40 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/cake/libs/debugger.php:686) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 742]
2013-11-25 08:11:40 Warning: Warning (2): Missing argument 1 for PostsController::delete() in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php, line 148]
2013-11-25 08:11:40 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/cake/libs/debugger.php:686) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 742]
2013-11-25 08:12:44 Warning: Warning (2): Missing argument 1 for PostsController::view() in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php, line 91]
2013-11-25 08:12:44 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/cake/libs/debugger.php:686) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 742]
2013-11-25 08:12:44 Warning: Warning (2): Missing argument 1 for PostsController::delete() in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php, line 148]
2013-11-25 08:12:44 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/cake/libs/debugger.php:686) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 742]
2013-11-25 14:54:07 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/users_controller.php:34) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/components/request_handler.php, line 763]
2013-11-25 14:54:45 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/users_controller.php:34) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/components/request_handler.php, line 763]
